hall_name,hall_url,item_name,detail_url,allergens_inline,label_item_name,nutrition_block,ingredients_text
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Cereal, Berry Colossal Crunch",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300028*1,,"Cereal, Berry Colossal Crunch","Nutrition Facts
Serving Size
1 CUP
Calories
225
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
2.7g
4%
Sat. Fat
1.7g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
411.1mg
18%
Amount/Serving
%DV*
Tot. Carb.
48.7g
15%
Dietary Fiber
1.5g
4%
Sugars
25.1g
Includes
0g Added Sugars
0%
Protein
2.5g
Vitamin D
-
0mcg - 0%
Calcium
-
6.2mg - 1%
Iron
-
11.3mg - 141%
Potassium
-
106mg - 2%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Cereal, Cornflakes",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300029*1,,"Cereal, Cornflakes","Nutrition Facts
Serving Size
1 CUP
Calories
114
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0.1g
0%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
233.1mg
10%
Amount/Serving
%DV*
Tot. Carb.
26.9g
8%
Dietary Fiber
1.1g
3%
Sugars
3g
Includes
0g Added Sugars
0%
Protein
2.4g
Vitamin D
-
1.2mcg - 0%
Calcium
-
2.2mg - 0%
Iron
-
9.2mg - 116%
Potassium
-
53.7mg - 1%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Cereal, Honey Nut Toasty O's",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300012*1,,"Cereal, Honey Nut Toasty O's","Nutrition Facts
Serving Size
1 CUP
Calories
120
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
1.5g
2%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
159.7mg
7%
Amount/Serving
%DV*
Tot. Carb.
24.9g
8%
Dietary Fiber
1g
3%
Sugars
11g
Includes
0g Added Sugars
0%
Protein
2g
Vitamin D
-
mcg - 0%
Calcium
-
129.7mg - 13%
Iron
-
4.5mg - 56%
Potassium
-
0mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Cereal, Lucky Charms",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300010*1,,"Cereal, Lucky Charms","Nutrition Facts
Serving Size
1 CUP
Calories
231
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
2.1g
3%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
357mg
16%
Amount/Serving
%DV*
Tot. Carb.
46.2g
14%
Dietary Fiber
4.2g
12%
Sugars
21g
Includes
0g Added Sugars
0%
Protein
4.2g
Vitamin D
-
mcg - 0%
Calcium
-
273mg - 27%
Iron
-
9.5mg - 118%
Potassium
-
0mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Cereal, Raisin Bran",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300011*1,,"Cereal, Raisin Bran","Nutrition Facts
Serving Size
1 CUP
Calories
177
Calories from Fat
8.4
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0.9g
1%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
223.1mg
10%
Amount/Serving
%DV*
Tot. Carb.
44.6g
14%
Dietary Fiber
8.4g
25%
Sugars
18.6g
Includes
8.4g Added Sugars
0%
Protein
4.6g
Vitamin D
-
1.9mcg - 0%
Calcium
-
27.9mg - 3%
Iron
-
10mg - 125%
Potassium
-
316mg - 7%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,100% Orange Juice,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300019*1,,100% Orange Juice,"Nutrition Facts
Serving Size
1 16 Oz
Calories
209
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0g
0%
Sat. Fat
- - -g
- - -%
Trans Fat
- - -g
Cholesterol
- - -mg
- - -%
Sodium
27.2mg
1%
Amount/Serving
%DV*
Tot. Carb.
51g
15%
Dietary Fiber
- - -g
- - -%
Sugars
45.4g
Includes
0g Added Sugars
0%
Protein
3.8g
Vitamin D
-
mcg - 0%
Calcium
-
36.3mg - 4%
Iron
-
mg - 0%
Potassium
-
852.8mg - 18%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,Apple Juice,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300073*8,,Apple Juice,"Nutrition Facts
Serving Size
8 OZ
Calories
112
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0.2g
0%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
16.7mg
1%
Amount/Serving
%DV*
Tot. Carb.
27.6g
8%
Dietary Fiber
0.2g
1%
Sugars
- - -g
Includes
0g Added Sugars
0%
Protein
0.3g
Vitamin D
-
0mcg - 0%
Calcium
-
14.4mg - 1%
Iron
-
0.6mg - 8%
Potassium
-
301.4mg - 6%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Milk, Chocolate",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300022*1,,"Milk, Chocolate","Nutrition Facts
Serving Size
1 16 Oz
Calories
302
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
5g
8%
Sat. Fat
3g
- - -%
Trans Fat
0g
Cholesterol
30.2mg
- - -%
Sodium
504mg
22%
Amount/Serving
%DV*
Tot. Carb.
46.4g
14%
Dietary Fiber
0g
0%
Sugars
42.3g
Includes
0g Added Sugars
0%
Protein
16.1g
Vitamin D
-
0mcg - 0%
Calcium
-
604.8mg - 60%
Iron
-
0.7mg - 9%
Potassium
-
0mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Milk, Skim",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300023*1,,"Milk, Skim","Nutrition Facts
Serving Size
1 16 Oz
Calories
167
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
0.4g
1%
Sat. Fat
0.3g
- - -%
Trans Fat
0g
Cholesterol
9.8mg
- - -%
Sodium
205.8mg
9%
Amount/Serving
%DV*
Tot. Carb.
24.3g
7%
Dietary Fiber
0g
0%
Sugars
24.3g
Includes
0g Added Sugars
0%
Protein
16.5g
Vitamin D
-
5.9mcg - 0%
Calcium
-
597.8mg - 60%
Iron
-
0.1mg - 2%
Potassium
-
764.4mg - 16%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Milk, Whole",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=300024*1,,"Milk, Whole","Nutrition Facts
Serving Size
1 16 Oz
Calories
298
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
15.9g
24%
Sat. Fat
9.1g
- - -%
Trans Fat
0.5g
Cholesterol
48.8mg
- - -%
Sodium
209.8mg
9%
Amount/Serving
%DV*
Tot. Carb.
23.4g
7%
Dietary Fiber
0g
0%
Sugars
23.4g
Includes
0g Added Sugars
0%
Protein
15.4g
Vitamin D
-
6.3mcg - 0%
Calcium
-
551.4mg - 55%
Iron
-
0.1mg - 2%
Potassium
-
644.2mg - 14%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Soy Milk, Chocolate",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=233066*8,,"Soy Milk, Chocolate","Nutrition Facts
Serving Size
8 OZ
Calories
85
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
1.4g
2%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
80.3mg
3%
Amount/Serving
%DV*
Tot. Carb.
15.1g
5%
Dietary Fiber
0.9g
3%
Sugars
13.2g
Includes
0g Added Sugars
0%
Protein
2.8g
Vitamin D
-
0mcg - 0%
Calcium
-
283.5mg - 28%
Iron
-
1.7mg - 21%
Potassium
-
0mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,"Soy Milk, Vanilla",https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=233130*8,,"Soy Milk, Vanilla","Nutrition Facts
Serving Size
8 OZ
Calories
95
Calories from Fat
- - -
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
3.3g
5%
Sat. Fat
0.5g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
80.3mg
3%
Amount/Serving
%DV*
Tot. Carb.
9.5g
3%
Dietary Fiber
0.9g
3%
Sugars
7.6g
Includes
0g Added Sugars
0%
Protein
5.7g
Vitamin D
-
0mcg - 0%
Calcium
-
283.5mg - 28%
Iron
-
1mg - 13%
Potassium
-
0mg - 0%",
D2 at Dietrick Hall,https://foodpro.students.vt.edu/menus/MenuAtLocation.aspx?locationNum=15&naFlag=1,Unsweetened Almond Milk,https://foodpro.students.vt.edu/menus/label.aspx?locationNum=15&dtdate=11%2f15%2f2025&RecNumAndPort=233181*8,,Unsweetened Almond Milk,"Nutrition Facts
Serving Size
8 OZ
Calories
30
Calories from Fat
0
*Percent Daily Values (DV)
are based on a 2,000
calorie diet.
Amount/Serving
%DV*
Total Fat
2.5g
4%
Sat. Fat
0g
- - -%
Trans Fat
0g
Cholesterol
0mg
- - -%
Sodium
123.2mg
5%
Amount/Serving
%DV*
Tot. Carb.
1g
0%
Dietary Fiber
1g
3%
Sugars
0g
Includes
0g Added Sugars
0%
Protein
1g
Vitamin D
-
2.9mcg - 0%
Calcium
-
470.2mg - 47%
Iron
-
0.5mg - 6%
Potassium
-
0mg - 0%",
